Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
Q120,Q_NPN_BEC,SOT-23,218.6875,-67.25,270.0,top
Q121,Q_NPN_BEC,SOT-23,228.4,-98.85,0.0,top
Q122,Q_NPN_BEC,SOT-23,226.65,-105.35,270.0,top
Q123,Q_NPN_BEC,SOT-23,228.4,-60.85,0.0,top
Q124,Q_NPN_BEC,SOT-23,226.65,-67.35,270.0,top
Q125,Q_NPN_BEC,SOT-23,228.4,-41.7125,0.0,top
Q126,Q_NPN_BEC,SOT-23,226.65,-48.2125,270.0,top
Q127,Q_NPN_BEC,SOT-23,228.4375,-79.75,0.0,top
Q128,Q_NPN_BEC,SOT-23,226.6875,-86.25,270.0,top
Q129,NMOS,TO-252-3_TabPin2,149.66,-116.0,0.0,top
Q131,AO3401A,SOT-23,227.5,-134.8,180.0,top
Q1001,Q_NPN_BEC,SOT-23,90.25,-157.425,0.0,top
Q1002,Q_NPN_BEC,SOT-23,81.25,-142.65,0.0,top
Q1003,Q_NPN_BEC,SOT-23,81.3125,-126.7,0.0,top
Q1004,Q_NPN_BEC,SOT-23,81.25,-110.975,0.0,top
Q1005,Q_NPN_BEC,SOT-23,81.3125,-94.7,0.0,top
Q1006,Q_NPN_BEC,SOT-23,81.3125,-70.8875,0.0,top
Q1007,Q_NPN_BEC,SOT-23,81.3125,-54.8,0.0,top
Q1008,Q_NPN_BEC,SOT-23,90.25,-41.75,0.0,top
